(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0BRTJ2JRK,B0BRTKV4TC,"Liquid Plant Food for use in AeroGarden, IDOO and Hydroponic Growing Systems, Liquid Fertilizer 8 oz (250mL)","6,842",161,4.65%,4.31%,"9,829",220,4.83%,4.21%,99.63%,100.00%,"3,032",288,44.31%,178.88%,"$36,196.87","$3,434.98","2,769",59
B0CQ3KG7WK,B0CPGGCRT8,"TPS NUTRIENTS Christmas Cactus Fertilizer for All Christmas Cacti and Schlumbergera Cacti, Liquid Plant Food 8 oz (250mL)","6,447",97,4.38%,2.60%,"8,961",141,4.41%,2.70%,99.52%,100.00%,"2,739",74,42.48%,76.29%,"$32,606.08",$880.54,"2,657",41
B0BRTHVZCH,B0BRTK1P8Z,"Monstera Plant Food for Monsteras and Philodendrons, Tropical Houseplant Liquid Fertilizer 8 oz (250mL)","7,673",152,5.21%,4.07%,"10,512",232,5.17%,4.44%,99.42%,100.00%,"2,359",59,30.74%,38.82%,"$28,143.12",$695.43,"2,329",54
B0BRTHP3XC,B0BRTJGR33,"Fiddle Leaf Fig Plant Food for All Fig and Other Ficus Trees, Liquid Houseplant Fertilizer 8 oz (250mL)","2,619",60,1.78%,1.61%,"3,680",74,1.81%,1.42%,99.71%,100.00%,"1,548",22,59.11%,36.67%,"$15,401.25",$216.94,"1,522",21
B0C73PRW4M,B0C73SNJCH,"Lemon Tree Fertilizer, Complete Lemon Tree Plant Food, 8 oz (250mL)","3,369",63,2.29%,1.69%,"4,629",75,2.28%,1.43%,99.34%,100.00%,"1,198",19,35.56%,30.16%,"$14,350.35",$225.89,"1,186",19
B0BRTHT763,B0BRTJB518,"Indoor Plant Food, Liquid Fertilizer for Healthy Growth & Vibrant Foliage in Houseplants, by TPS Plant Foods, 8 oz (250 mL)","3,778",79,2.57%,2.12%,"5,382",118,2.65%,2.26%,99.22%,100.00%,"1,072",12,28.37%,15.19%,"$10,674.93",$119.82,"1,060",11
B073ZMV1MD,B073ZNW8MX,"Bloom City Organic Liquid Seaweed and Kelp Fertilizer Supplement, Quart (32 oz) Concentrated Makes 180 Gallons","3,645",85,2.48%,2.28%,"5,189",122,2.55%,2.33%,99.65%,100.00%,927,9,25.43%,10.59%,"$18,468.36",$177.51,911,8
B0CT6FTXWT,B0CT668F19,"TPS NUTRIENTS Silica for Plants, Boost Strength & Resilience, Stronger Stems & Healthier Leaves - 8 oz (250mL)","3,079",79,2.09%,2.12%,"4,316",104,2.12%,1.99%,97.50%,100.00%,784,19,25.46%,24.05%,"$9,265.39",$224.93,781,19
B0CWQGR6WR,B07CX36LW8,TPS NUTRIENTS Silica Gold Plant Strength Nutrient and Supplement with Bioavailable Silicon 1 Quart (32 oz),"3,593",93,2.44%,2.49%,"5,648",140,2.78%,2.68%,99.17%,100.00%,757,16,21.07%,17.20%,"$18,156.11",$379.52,746,15
B0BRTJFDBD,B0BRTJBFP7,"Orchid Plant Food for All Orchids and Acid Loving Houseplants, Promotes Growth and Blooms, Liquid Fertilizer 8 oz (250mL)","1,738",32,1.18%,0.86%,"2,486",46,1.22%,0.88%,99.57%,100.00%,551,5,31.70%,15.63%,"$5,463.16",$49.45,550,5
B073ZTGW3B,B08JHKKVST,"Bloom City Liquid Silica Boost Fertilizer and Supplement, 1/2 Pint (8 oz) Concentrated Makes 45 Gallons","1,599",31,1.09%,0.83%,"2,302",39,1.13%,0.75%,98.09%,100.00%,535,8,33.46%,25.81%,"$6,909.12",$102.36,530,8
B0DQTSXDXM,B0DQTQ31B4,"Lotus Fertilizer, Complete Lotus Plant Food, 8 oz (250mL)","1,546",37,1.05%,0.99%,"2,059",50,1.01%,0.96%,99.33%,100.00%,526,11,34.02%,29.73%,"$6,305.30",$130.45,519,11
B0C6Q56QSG,B0C6Q7PL3S,"Palm Tree Fertilizer for All Palms and Ferns, Liquid Plant Food 8 oz (250mL)","1,202",18,0.82%,0.48%,"1,672",23,0.82%,0.44%,99.65%,100.00%,483,19,40.18%,105.56%,"$5,787.81",$224.21,479,19
B0DPKV542K,B0DPKW9K72,"Bougainvillea Fertilizer, Complete Liquid Bougainvillea Plant Food, 8 oz (250mL)","1,018",23,0.69%,0.62%,"1,434",31,0.71%,0.59%,99.43%,100.00%,471,8,46.27%,34.78%,"$5,621.87",$94.48,460,6
B073ZMV1MD,B08JHHFZVG,"Organic Liquid Seaweed and Kelp Fertilizer Supplement by Bloom City, (8 oz) Concentrated Makes 45 Gallons","1,429",28,0.97%,0.75%,"1,945",35,0.96%,0.67%,98.38%,92.86%,447,5,31.28%,17.86%,"$5,347.06",$59.47,439,5
