2024-05-06: units=1, sales=$11.99
2024-05-13: units=2, sales=$36.98
2024-05-20: units=528, sales=$7,468.73
2024-05-27: units=1085, sales=$15,593.17
2024-06-03: units=364, sales=$9,056.36
2024-06-10: units=72, sales=$2,625.28
2024-06-17: units=132, sales=$3,230.66
2024-06-24: units=350, sales=$5,719.42
2024-07-01: units=408, sales=$6,474.70
2024-07-08: units=599, sales=$9,622.88
2024-07-15: units=783, sales=$10,389.40
2024-07-22: units=462, sales=$7,169.35
2024-07-29: units=406, sales=$6,313.15
2024-08-05: units=330, sales=$4,988.31
2024-08-12: units=285, sales=$4,273.64
2024-08-19: units=225, sales=$3,506.75
